	7SK	ADAMTS9-AS2	AFAP1-AS1	ATP6V1G2-DDX39B	ATXN8OS	BACE1-AS	BANCR	BC040587	BCAR4	BCYRN1	BDNF-AS	BOK-AS1	BPESC1	C1QTNF9B-AS1	CASC2	CBR3-AS1	CCAT1	CCAT2	CCDC26	CDKN2B-AS1	CECR3	CECR9	CHL1-AS2	CRNDE	DANCR	DAOA-AS1	DAPK1	DGCR5	DISC2	DLEU1	DLEU2	DLX6-AS1	DMPK	DNM3OS	DSCAM-AS1	EPB41L4A-AS1	ESRG	FOXCUT	GAS5	GHET1	GNAS-AS1	H19	HAR1A	HAR1B	HCP5	HIF1A-AS1	HIF1A-AS2	HNF1A-AS1	HOTAIR	HOTTIP	HULC	HYMAI	IFNG-AS1	IGF2-AS	KCNQ1DN	KCNQ1OT1	LINC00032	LINC00152	LINC00162	LINC00261	LINC00271	LSINCT5	MALAT1	MAP3K14	MEG3	MESTIT1	MIAT	MINA	MIR100HG	MIR155HG	MIR17HG	MIR31HG	MKRN3-AS1	MNX1-AS1	MYCNOS	NAMA	NEAT1	NPTN-IT1	NRON	PANDAR	PCA3	PCAT1	PCGEM1	PDZRN3-AS1	PINK1-AS	PISRT1	PPP3CB	PRINS	PSORS1C3	PTENP1	PVT1	RMST	RPL34-AS1	RRP1B	SCAANT1	SNHG11	SNHG16	SNHG3	SNHG4	SNHG5	SOX2-OT	SPRY4-IT1	SRA1	TCL6	TDRG1	TERC	TRAF3IP2-AS1	TUG1	TUSC7	UCA1	WRAP53	WT1-AS	XIST	ZFAS1	ZFAT-AS1
7SK	1	0.074264706	0.105882353	0.563235294	0.380882353	0.407352941	0.020588235	0.563235294	0.457352941	0.222058824	0.129411765	0.088235294	0.563235294	0.275735294	0.007352941	0.104411765	0.538970588	0.563235294	0.413235294	0.104411765	0.380882353	0.563235294	0.066176471	0.444117647	0.013970588	0.563235294	0.008088235	0.155147059	0.678676471	0.077941176	0.197794118	0.060294118	0.049264706	0.257352941	0.292647059	0.040441176	0.345588235	0.5	0.042647059	0.209558824	0.177941176	0.154411765	0.543382353	0.061029412	0.382352941	0.079411765	0.384558824	0.284558824	0.229411765	0.209558824	0.297058824	0.563235294	0.093382353	0.133088235	0.172058824	0.232352941	0.275	0.383088235	0.072058824	0.167647059	0.152205882	0.397058824	0.417647059	0.1625	0.002205882	0.080147059	0.083823529	0.188970588	0.106617647	0.247058824	0.433823529	0.097794118	0.247058824	0.380882353	0.3625	0.064705882	0.308088235	0.281617647	0.000735294	0.398529412	0.016911765	0.309558824	0.407352941	0.252941176	0.261764706	0.563235294	0.482352941	0.278676471	0.188235294	0.002205882	0.107352941	0.120588235	0.159558824	0.266176471	0.461029412	0.053676471	0.240441176	0.241911765	0.263235294	0.336764706	0.063970588	0.533088235	0.258088235	0.016911765	0.155147059	0.563235294	0.020588235	0.143382353	0.209558824	0.030882353	0.058823529	0.153676471	0.109558824	0.075	0.563235294
ADAMTS9-AS2	0.074264706	1	0.546323529	0.505147059	0.322794118	0.240441176	0.267647059	0.505147059	0.434558824	0.172794118	0.350735294	0.244117647	0.505147059	0.425	0.591176471	0.507352941	0.05	0.505147059	0.022058824	0.732352941	0.463970588	0.505147059	0.532352941	0.239705882	0.258088235	0.505147059	0.275735294	0.117647059	0.283823529	0.076470588	0.386029412	0.253676471	0.494117647	0.811764706	0.293382353	0.838235294	0.054411765	0.030147059	0.805882353	0.302205882	0.431617647	0.230147059	0.238235294	0.299264706	0.163970588	0.280147059	0.313235294	0.342647059	0.404411765	0.625	0.263970588	0.505147059	0.222058824	0.322794118	0.172794118	0.386029412	0.394852941	0.238970588	0.355882353	0.402205882	0.461764706	0.489705882	0.118382353	0.219117647	0.490441176	0.485294118	0.227205882	0.252941176	0.776470588	0.319117647	0.002941176	0.402941176	0.454411765	0.463970588	0.232352941	0.472794118	0.55	0.235294118	0.227941176	0.3875	0.476470588	0.591176471	0.6125	0.258088235	0.005147059	0.505147059	0.152205882	0.332352941	0.652205882	0.2625	0.596323529	0.577941176	0.172794118	0.403676471	0.077205882	0.449264706	0.378676471	0.5875	0.408088235	0.536029412	0.558088235	0.338235294	0.05	0.197058824	0.275	0.505147059	0.577941176	0.5625	0.301470588	0.467647059	0.226470588	0.616911765	0.325735294	0.508088235	0.505147059
AFAP1-AS1	0.105882353	0.546323529	1	0.602941176	0.667647059	0.511764706	0.386029412	0.602941176	0.602941176	0.380882353	0.402941176	0.020588235	0.602941176	0.370588235	0.591176471	0.475	0.188970588	0.602941176	0.278676471	0.666911765	0.597058824	0.602941176	0.411764706	0.197058824	0.109558824	0.602941176	0.527205882	0.380882353	0.427205882	0.209558824	0.308823529	0.591176471	0.1125	0.545588235	0.555882353	0.751470588	0.324264706	0.056617647	0.657352941	0.693382353	0.473529412	0.132352941	0.521323529	0.236764706	0.125	0.343382353	0.013235294	0.188235294	0.452205882	0.447794118	0.502941176	0.602941176	0.183823529	0.469117647	0.552941176	0.590441176	0.541176471	0.094117647	0.478676471	0.120588235	0.447794118	0.566911765	0.114705882	0.366176471	0.716176471	0.551470588	0.667647059	0.199264706	0.5625	0.396323529	0.125735294	0.501470588	0.683088235	0.597058824	0.556617647	0.479411765	0.347794118	0.602205882	0.45	0.438235294	0.368382353	0.425	0.579411765	0.473529412	0.086029412	0.602941176	0.320588235	0.099264706	0.397794118	0.075735294	0.590441176	0.511764706	0.580882353	0.397058824	0.234558824	0.475	0.082352941	0.448529412	0.406617647	0.405882353	0.672794118	0.233823529	0.159558824	0.461764706	0.656617647	0.602941176	0.753676471	0.563235294	0.668382353	0.527941176	0.428676471	0.495588235	0.328676471	0.547058824	0.602941176
ATP6V1G2-DDX39B	0.563235294	0.505147059	0.602941176	1	0.911764706	0.511764706	0.563970588	1	0.835294118	0.505882353	0.511764706	0.541176471	1	0.567647059	0.511764706	0.514705882	0.544852941	1	0.768382353	0.547794118	0.911764706	1	0.510294118	0.508823529	0.502205882	1	0.506617647	0.541176471	0.834558824	0.5125	0.510294118	0.602941176	0.502205882	0.529411765	0.717647059	0.507352941	0.515441176	0.565441176	0.501470588	0.513970588	0.664705882	0.5	0.513970588	0.533823529	0.510294118	0.565441176	0.508823529	0.513235294	0.563970588	0.834558824	0.622058824	1	0.576470588	0.663235294	0.767647059	0.511029412	0.588235294	0.508823529	0.5875	0.661764706	0.534558824	0.603676471	0.5	0.511764706	0.504411765	0.595588235	0.542647059	0.528676471	0.527205882	0.511029412	0.519852941	0.589705882	0.711029412	0.911764706	0.534558824	0.588235294	0.502205882	0.509558824	0.713235294	0.835294118	0.552205882	0.541176471	0.713235294	0.664705882	0.549264706	1	0.5	0.544852941	0.511029412	0.513970588	0.503676471	0.622058824	0.536764706	0.507352941	0.518382353	0.517647059	0.516176471	0.527941176	0.506617647	0.5	0.565441176	0.522058824	0.518382353	0.544117647	0.711029412	1	0.522794118	0.501470588	0.834558824	0.533823529	0.530147059	0.529411765	0.544852941	0.5	1
ATXN8OS	0.380882353	0.322794118	0.667647059	0.911764706	1	0.482352941	0.499264706	0.911764706	0.723529412	0.594117647	0.6	0.323529412	0.911764706	0.373529412	0.576470588	0.532352941	0.491911765	0.911764706	0.644852941	0.494852941	0.811764706	0.911764706	0.563235294	0.314705882	0.296323529	0.911764706	0.500735294	0.629411765	0.722794118	0.294852941	0.363235294	0.691176471	0.296323529	0.347058824	0.770588235	0.383823529	0.603676471	0.524264706	0.307352941	0.590441176	0.588235294	0.258823529	0.602205882	0.598529412	0.245588235	0.5125	0.314705882	0.425	0.381617647	0.722794118	0.463235294	0.911764706	0.394117647	0.516176471	0.855882353	0.552205882	0.664705882	0.326470588	0.569852941	0.514705882	0.552205882	0.550735294	0.564705882	0.329411765	0.569117647	0.636764706	0.630882353	0.311029412	0.533088235	0.375735294	0.396323529	0.677941176	0.799264706	0.811764706	0.5875	0.547058824	0.402205882	0.586029412	0.754411765	0.723529412	0.616911765	0.358823529	0.577941176	0.682352941	0.343382353	0.911764706	0.588235294	0.444852941	0.399264706	0.378676471	0.321323529	0.592647059	0.601470588	0.289705882	0.383088235	0.5	0.251470588	0.392647059	0.500735294	0.305882353	0.653676471	0.327941176	0.324264706	0.467647059	0.775735294	0.911764706	0.563970588	0.330882353	0.899264706	0.469117647	0.371323529	0.323529412	0.538970588	0.352941176	0.911764706
BACE1-AS	0.407352941	0.240441176	0.511764706	0.511764706	0.482352941	1	0.241911765	0.511764706	0.464705882	0.207352941	0.294117647	0.098529412	0.511764706	0.3	0.366176471	0.348529412	0.015441176	0.511764706	0.033088235	0.250735294	0.552941176	0.511764706	0.138235294	0.167647059	0.106617647	0.511764706	0.038970588	0.141176471	0.247794118	0.044852941	0.116176471	0.479411765	0.284558824	0.339705882	0.441176471	0.297058824	0.027205882	0.058088235	0.266176471	0.409558824	0.602941176	0.432352941	0.205147059	0.048529412	0.363235294	0.219852941	0.077941176	0.107352941	0.366911765	0.381617647	0.017647059	0.511764706	0.114705882	0.470588235	0.526470588	0.3875	0.355882353	0.380882353	0.1875	0.176470588	0.541911765	0.343382353	0.023529412	0.416176471	0.347058824	0.407352941	0.004411765	0.603676471	0.161029412	0.094852941	0.068382353	0.563235294	0.311029412	0.552941176	0.308088235	0.255882353	0.156617647	0.268382353	0.332352941	0.464705882	0.213970588	0.229411765	0.472058824	0.429411765	0.281617647	0.511764706	0.726470588	0.003676471	0.202205882	0.031617647	0.388970588	0.557352941	0.361764706	0.426470588	0.124264706	0.276470588	0.136764706	0.029411765	0.171323529	0.311764706	0.322794118	0.086764706	0.0625	0.422058824	0.438970588	0.511764706	0.281617647	0.442647059	0.538970588	0.15	0.386029412	0.383823529	0.352205882	0.038235294	0.511764706
BANCR	0.020588235	0.267647059	0.386029412	0.563970588	0.499264706	0.241911765	1	0.563970588	0.458088235	0.416176471	0.372794118	0.586764706	0.563970588	0.352941176	0.392647059	0.313970588	0.211764706	0.563970588	0.05	0.225	0.628676471	0.563970588	0.050735294	0.606617647	0.325735294	0.563970588	0.248529412	0.011764706	0.497794118	0.295588235	0.322794118	0.503676471	0.402941176	0.158088235	0.352205882	0.167647059	0.166911765	0.146323529	0.125735294	0.213235294	0.363970588	0.172794118	0.266911765	0.314705882	0.009558824	0.588235294	0.425	0.330147059	0.227205882	0.435294118	0.447794118	0.563970588	0.202941176	0.333088235	0.531617647	0.155147059	0.180147059	0.159558824	0.783088235	0.222794118	0.303676471	0.294117647	0.019852941	0.05	0.463235294	0.395588235	0.079411765	0.128676471	0.331617647	0.078676471	0.222794118	0.326470588	0.326470588	0.628676471	0.216911765	0.683088235	0.176470588	0.6375	0.206617647	0.458088235	0.186764706	0.300735294	0.152205882	0.540441176	0.115441176	0.563970588	0.196323529	0.126470588	0.223529412	0.086029412	0.129411765	0.416911765	0.277941176	0.091176471	0.391176471	0.276470588	0	0.080147059	0.138235294	0.124264706	0.297794118	0.309558824	0.057352941	0.026470588	0.316911765	0.563970588	0.296323529	0.275735294	0.583088235	0.329411765	0.079411765	0.383088235	0.114705882	0.075735294	0.563970588
BC040587	0.563235294	0.505147059	0.602941176	1	0.911764706	0.511764706	0.563970588	1	0.835294118	0.505882353	0.511764706	0.541176471	1	0.567647059	0.511764706	0.514705882	0.544852941	1	0.768382353	0.547794118	0.911764706	1	0.510294118	0.508823529	0.502205882	1	0.506617647	0.541176471	0.834558824	0.5125	0.510294118	0.602941176	0.502205882	0.529411765	0.717647059	0.507352941	0.515441176	0.565441176	0.501470588	0.513970588	0.664705882	0.5	0.513970588	0.533823529	0.510294118	0.565441176	0.508823529	0.513235294	0.563970588	0.834558824	0.622058824	1	0.576470588	0.663235294	0.767647059	0.511029412	0.588235294	0.508823529	0.5875	0.661764706	0.534558824	0.603676471	0.5	0.511764706	0.504411765	0.595588235	0.542647059	0.528676471	0.527205882	0.511029412	0.519852941	0.589705882	0.711029412	0.911764706	0.534558824	0.588235294	0.502205882	0.509558824	0.713235294	0.835294118	0.552205882	0.541176471	0.713235294	0.664705882	0.549264706	1	0.5	0.544852941	0.511029412	0.513970588	0.503676471	0.622058824	0.536764706	0.507352941	0.518382353	0.517647059	0.516176471	0.527941176	0.506617647	0.5	0.565441176	0.522058824	0.518382353	0.544117647	0.711029412	1	0.522794118	0.501470588	0.834558824	0.533823529	0.530147059	0.529411765	0.544852941	0.5	1
BCAR4	0.457352941	0.434558824	0.602941176	0.835294118	0.723529412	0.464705882	0.458088235	0.835294118	1	0.223529412	0.441176471	0.4	0.835294118	0.720588235	0.452941176	0.479411765	0.568382353	0.835294118	0.709558824	0.594852941	0.911764706	0.835294118	0.322058824	0.473529412	0.278676471	0.835294118	0.4125	0.6	0.799264706	0.641911765	0.616176471	0.673529412	0.525735294	0.517647059	0.647058824	0.530882353	0.503676471	0.636029412	0.489705882	0.561029412	0.829411765	0.335294118	0.431617647	0.675	0.380882353	0.4125	0.473529412	0.536764706	0.728676471	0.622794118	0.633823529	0.835294118	0.470588235	0.616176471	0.720588235	0.581617647	0.352941176	0.402941176	0.505147059	0.379411765	0.593382353	0.638970588	0.358823529	0.547058824	0.339705882	0.595588235	0.472058824	0.469852941	0.3625	0.522794118	0.519852941	0.389705882	0.452205882	0.911764706	0.6875	0.470588235	0.3375	0.427205882	0.454411765	0.811764706	0.434558824	0.670588235	0.630882353	0.382352941	0.5375	0.835294118	0.382352941	0.356617647	0.534558824	0.513970588	0.515441176	0.504411765	0.677941176	0.589705882	0.636029412	0.576470588	0.292647059	0.375	0.400735294	0.429411765	0.647794118	0.522058824	0.683088235	0.65	0.675735294	0.835294118	0.511029412	0.536764706	0.822794118	0.522058824	0.565441176	0.494117647	0.2625	0.311764706	0.835294118
BCYRN1	0.222058824	0.172794118	0.380882353	0.505882353	0.594117647	0.207352941	0.416176471	0.505882353	0.223529412	1	0.407352941	0.106617647	0.505882353	0.138235294	0.211764706	0.336029412	0.059558824	0.505882353	0.034558824	0.241176471	0.276470588	0.505882353	0.406617647	0.160294118	0.041176471	0.505882353	0.238235294	0.146323529	0.45	0.386764706	0.175	0.422058824	0.158088235	0.147058824	0.670588235	0.166176471	0.025735294	0.138235294	0.091176471	0.182352941	0.239705882	0.045588235	0.030882353	0.135294118	0.036764706	0.041911765	0.342647059	0.247794118	0.021323529	0.468382353	0.123529412	0.505882353	0.027205882	0.044117647	0.423529412	0.091911765	0.533823529	0.184558824	0.518382353	0.111764706	0.048529412	0.373529412	0.357352941	0.070588235	0.361764706	0.341911765	0.138235294	0.198529412	0.445588235	0.144852941	0.340441176	0.309558824	0.390441176	0.276470588	0.143382353	0.088235294	0.272058824	0.727941176	0.044117647	0.176470588	0.261764706	0.000735294	0.309558824	0.607352941	0.253676471	0.505882353	0.408823529	0.308823529	0.080882353	0.333823529	0.003676471	0.066176471	0.050735294	0.439705882	0.010294118	0.058823529	0.111764706	0.075	0.159558824	0.225	0.248529412	0.121323529	0.514705882	0.222058824	0.092647059	0.505882353	0.176470588	0.25	0.355882353	0.066911765	0.088235294	0.05	0.038235294	0.119117647	0.505882353
